"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2019","207.02","208.34","209.44","206.82","16.47M","-1.71%"
"Oct 07, 2019","210.62","212.16","214.38","210.04","16.80M","-0.92%"
"Oct 04, 2019","212.58","210.67","212.70","209.73","15.90M","1.11%"
"Oct 03, 2019","210.25","207.56","210.40","204.78","18.02M","0.73%"
"Oct 02, 2019","208.73","211.09","211.89","207.09","30.02M","-2.58%"
"Oct 01, 2019","214.25","218.47","223.50","213.96","39.03M","-0.98%"
"Sep 30, 2019","216.36","213.00","217.46","211.98","17.46M","1.33%"
"Sep 27, 2019","213.53","213.32","215.55","211.46","20.60M","0.84%"
"Sep 26, 2019","211.75","216.74","216.74","210.15","21.81M","-3.42%"
"Sep 25, 2019","219.25","213.24","219.57","212.69","26.67M","2.44%"
"Sep 24, 2019","214.03","221.30","221.60","213.12","24.07M","-3.67%"
"Sep 23, 2019","222.18","217.22","223.56","216.17","24.52M","0.59%"
"Sep 20, 2019","220.87","223.37","224.98","219.73","35.02M","-1.12%"
"Sep 19, 2019","223.38","221.16","225.57","220.45","53.63M","-0.83%"
"Sep 18, 2019","225.25","225.89","227.73","222.65","20.31M","-0.98%"
"Sep 17, 2019","227.47","225.70","227.92","222.73","18.75M","-0.69%"
"Sep 16, 2019","229.05","225.56","231.08","225.34","16.21M","-0.20%"
"Sep 13, 2019","229.51","233.03","233.23","229.22","17.75M","-0.07%"
"Sep 12, 2019","229.67","229.63","230.44","224.09","23.23M","0.27%"
"Sep 11, 2019","229.05","224.28","229.23","220.04","27.43M","2.40%"
"Sep 10, 2019","223.68","216.81","223.73","215.03","21.25M","3.69%"
"Sep 09, 2019","215.72","211.30","215.88","211.14","22.49M","2.88%"
