"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","84.331","90.206","90.418","82.753","11.34M","-6.52%"
"Aug 08, 2019","90.209","90.568","92.130","88.112","10.68M","-0.37%"
"Aug 07, 2019","90.546","93.042","94.286","87.764","10.54M","-2.69%"
"Aug 06, 2019","93.049","96.508","99.246","91.217","11.28M","-3.58%"
"Aug 05, 2019","96.504","92.700","106.384","92.700","15.38M","4.10%"
"Aug 04, 2019","92.701","94.190","94.740","90.548","8.48M","-1.58%"
"Aug 03, 2019","94.192","94.780","96.552","93.652","8.28M","-0.61%"
"Aug 02, 2019","94.768","98.683","98.752","92.707","9.42M","-3.95%"
"Aug 01, 2019","98.667","98.781","100.312","95.862","8.77M","-0.12%"
"Jul 31, 2019","98.781","90.167","99.877","89.894","9.46M","9.55%"
"Jul 30, 2019","90.174","90.376","92.415","88.674","7.38M","-0.22%"
"Jul 29, 2019","90.376","89.893","91.993","87.809","8.40M","0.64%"
"Jul 28, 2019","89.800","88.789","90.794","84.125","8.40M","1.12%"
"Jul 27, 2019","88.803","94.006","95.897","87.103","9.28M","-5.53%"
"Jul 26, 2019","94.006","93.253","94.452","90.240","7.23M","0.81%"
"Jul 25, 2019","93.246","94.398","96.390","91.664","8.99M","-1.21%"
"Jul 24, 2019","94.391","90.225","97.260","87.294","11.88M","4.62%"
"Jul 23, 2019","90.219","95.280","95.311","88.718","10.12M","-5.31%"
"Jul 22, 2019","95.280","99.668","100.601","91.502","10.05M","-4.39%"
"Jul 21, 2019","99.650","100.276","101.369","96.635","9.93M","-0.63%"
"Jul 20, 2019","100.279","98.240","105.370","97.467","13.06M","2.08%"
"Jul 19, 2019","98.238","101.082","101.117","95.099","13.87M","-2.81%"
"Jul 18, 2019","101.075","89.977","103.935","87.000","18.76M","12.32%"
"Jul 17, 2019","89.988","79.527","94.370","77.004","19.62M","13.16%"
"Jul 16, 2019","79.523","90.424","91.840","76.708","16.92M","-12.05%"
"Jul 15, 2019","90.422","89.682","94.370","84.877","15.07M","0.84%"
"Jul 14, 2019","89.673","101.206","101.839","88.089","14.72M","-11.40%"
"Jul 13, 2019","101.207","104.859","105.106","97.782","11.26M","-3.48%"
"Jul 12, 2019","104.855","102.998","106.623","100.907","11.38M","1.80%"
"Jul 11, 2019","102.999","108.292","108.292","95.453","15.60M","-4.88%"
"Jul 10, 2019","108.284","119.214","120.166","102.607","13.78M","-9.17%"
"Jul 09, 2019","119.213","123.085","123.904","117.894","8.37M","-3.14%"
"Jul 08, 2019","123.082","119.561","124.828","118.022","8.56M","2.90%"
"Jul 07, 2019","119.612","118.424","120.335","117.114","8.44M","1.01%"
"Jul 06, 2019","118.421","118.419","121.557","117.225","8.78M","0.01%"
"Jul 05, 2019","118.414","119.758","120.899","116.849","10.03M","-1.13%"
