Date,Price,Open,High,Low,Vol.,Change %
"Oct 09, 2018",6651,"6,669.60","6,678.90","6,613.30",80.79K,-0.28%
"Oct 08, 2018",6670,"6,611.00","6,699.50","6,589.90",119.68K,0.89%
"Oct 07, 2018",6611,"6,596.30","6,633.90","6,523.80",77.06K,0.22%
"Oct 06, 2018",6596,"6,639.10","6,661.50","6,550.40",9.18M,-0.65%
"Oct 05, 2018",6639,"6,584.20","6,682.30","6,537.60",9.34M,0.83%
"Oct 04, 2018",6584,"6,509.20","6,653.00","6,487.80",9.31M,1.17%
"Oct 03, 2018",6508,"6,549.90","6,563.50","6,429.60",9.21M,-0.64%
"Oct 02, 2018",6550,"6,608.20","6,645.70","6,034.90",9.34M,-0.88%
"Oct 01, 2018",6608,"6,635.20","6,674.70","6,072.70",9.19M,-0.41%
"Sep 30, 2018",6635,"6,603.90","6,673.90","6,533.50",9.34M,0.47%
"Sep 29, 2018",6604,"6,633.90","6,648.40","6,464.40",9.42M,-0.48%
"Sep 28, 2018",6636,"6,685.70","6,809.20","6,538.60",9.57M,-0.79%
"Sep 27, 2018",6689,"6,463.70","6,738.30","6,428.80",9.34M,3.42%
"Sep 26, 2018",6468,"6,443.00","6,551.90","6,384.10",8.64M,0.36%
"Sep 25, 2018",6445,"6,590.60","6,590.60","5,977.00",7.34M,-2.11%
"Sep 24, 2018",6584,"6,713.30","6,728.10","6,559.10",7.57M,-1.79%
"Sep 23, 2018",6704,"6,729.60","6,789.40","6,666.40",7.34M,-0.38%
"Sep 22, 2018",6730,"6,766.70","6,833.30","6,635.50",7.31M,-0.55%
"Sep 21, 2018",6767,"6,490.90","6,780.50","6,489.80",7.73M,4.28%
"Sep 20, 2018",6489,"6,390.40","6,537.50","6,346.40",5.18M,1.55%
"Sep 19, 2018",6390,"6,342.00","6,478.70","6,144.50",3.54M,0.76%
"Sep 18, 2018",6342,"6,251.90","6,388.80","6,228.80",2.82M,1.44%
"Sep 17, 2018",6252,"6,500.20","6,533.50","6,215.90",3.26M,-3.82%
"Sep 16, 2018",6500,"6,519.00","6,520.80","6,406.20",3.34M,-0.29%
"Sep 15, 2018",6519,"6,482.60","6,562.90","6,470.30",3.16M,0.54%
"Sep 14, 2018",6484,"6,482.90","6,579.40","6,412.10",3.20M,0.01%
"Sep 13, 2018",6483,"6,338.00","6,867.30","6,337.80",3.53M,2.29%
"Sep 12, 2018",6338,"6,293.90","6,353.50","6,204.50",3.04M,0.70%
"Sep 11, 2018",6294,"6,320.70","6,391.80","6,189.60",3.30M,-0.43%
"Sep 10, 2018",6321,"6,238.50","6,358.50","6,237.30",3.11M,1.32%
"Sep 09, 2018",6239,"6,184.30","6,432.60","6,148.80",2.84M,0.88%
"Sep 08, 2018",6184,"6,390.90","6,484.30","6,132.30",3.46M,-3.23%
"Sep 07, 2018",6391,"6,514.10","6,540.60","6,316.20",3.30M,-1.89%
"Sep 06, 2018",6514,"6,706.80","6,732.90","6,337.80",4.02M,-2.87%
"Sep 05, 2018",6707,"7,377.50","7,407.50","6,691.80",4.55M,-9.09%
"Sep 04, 2018",7378,"7,264.20","7,409.90","7,234.50",3.92M,1.56%
"Sep 03, 2018",7264,"7,289.80","7,330.70","7,182.80",3.87M,-0.41%
"Sep 02, 2018",7294,"7,189.60","7,334.80","7,117.30",3.90M,1.45%
"Sep 01, 2018",7190,"7,032.40","7,264.30","7,020.40",3.52M,2.21%
"Aug 31, 2018",7034,"6,993.70","7,080.20","6,698.00",4.21M,0.57%
"Aug 30, 2018",6994,"7,029.20","7,050.20","6,798.00",3.74M,-0.50%
"Aug 29, 2018",7029,"7,074.60","7,121.40","6,926.70",4.11M,-0.64%
"Aug 28, 2018",7075,"6,897.60","7,129.70","6,861.20",3.79M,2.57%
"Aug 27, 2018",6898,"6,712.70","6,902.90","6,650.40",3.26M,2.75%
"Aug 26, 2018",6713,"6,734.90","6,892.70","6,573.10",3.37M,-0.33%
"Aug 25, 2018",6735,"6,680.60","6,783.40","6,655.30",3.59M,0.81%
"Aug 24, 2018",6680,"6,521.20","6,721.20","6,472.80",3.70M,2.44%
"Aug 23, 2018",6521,"6,359.90","6,550.20","6,359.20",2.76M,2.54%
"Aug 22, 2018",6360,"6,482.20","6,840.80","6,304.80",3.63M,-1.89%
"Aug 21, 2018",6482,"6,268.10","6,484.10","6,257.40",1.46M,3.41%
"Aug 20, 2018",6268,"6,474.20","6,516.40","6,255.90",3.10M,-3.29%
"Aug 19, 2018",6482,"6,379.10","6,534.80","6,316.00",2.71M,1.61%
"Aug 18, 2018",6379,"6,581.80","6,626.40","6,295.50",3.15M,-3.08%
"Aug 17, 2018",6582,"6,306.70","6,581.70","6,291.80",3.20M,4.36%
"Aug 16, 2018",6307,"6,256.90","6,470.90","6,249.80",3.50M,0.80%
"Aug 15, 2018",6257,"6,190.20","6,592.80","6,177.90",3.74M,1.08%
"Aug 14, 2018",6190,"6,255.30","6,255.30","5,898.30",3.66M,-1.04%
"Aug 13, 2018",6255,"6,313.00","6,524.10","6,159.60",234.09K,-0.91%
"Aug 12, 2018",6313,"6,232.10","6,453.00","6,169.80",216.33K,1.31%
"Aug 11, 2018",6232,"6,152.80","6,469.60","6,009.80",247.34K,1.29%
"Aug 10, 2018",6152,"6,539.50","6,570.20","6,043.40",298.82K,-5.91%
"Aug 09, 2018",6539,"6,283.70","6,620.20","6,197.00",237.66K,4.06%
"Aug 08, 2018",6284,"6,725.20","6,725.20","6,138.80",311.54K,-6.56%
"Aug 07, 2018",6725,"6,943.60","7,149.70","6,689.90",232.48K,-3.15%
"Aug 06, 2018",6944,"7,027.80","7,143.60","6,852.50",168.87K,-1.19%
"Aug 05, 2018",7027,"7,014.00","7,087.60","6,887.90",177.64K,0.18%
"Aug 04, 2018",7014,"7,418.90","7,484.20","6,949.70",222.57K,-5.46%
"Aug 03, 2018",7419,"7,535.60","7,535.60","7,293.50",226.46K,-1.55%
"Aug 02, 2018",7536,"7,606.40","7,701.40","7,470.60",216.34K,-0.93%
"Aug 01, 2018",7606,"7,728.50","7,753.20","7,449.20",237.69K,-1.59%
"Jul 31, 2018",7729,"8,176.40","8,176.50","7,649.80",266.94K,-5.48%
"Jul 30, 2018",8177,"8,214.70","8,262.00","7,874.40",242.21K,-0.47%
"Jul 29, 2018",8216,"8,231.50","8,275.40","8,113.30",155.24K,-0.22%
"Jul 28, 2018",8234,"8,186.80","8,234.10","8,077.40",147.14K,0.57%
"Jul 27, 2018",8187,"7,936.90","8,273.80","7,808.30",243.22K,3.15%
"Jul 26, 2018",7937,"8,173.90","8,304.30","7,861.00",235.45K,-2.90%
"Jul 25, 2018",8174,"8,404.90","8,484.60","8,062.10",269.23K,-2.78%
"Jul 24, 2018",8407,"7,723.10","8,479.80","7,701.90",345.32K,8.86%
"Jul 23, 2018",7723,"7,412.40","7,809.60","7,379.20",272.15K,4.19%
"Jul 22, 2018",7412,"7,409.00","7,575.30","7,343.70",204.16K,0.05%
"Jul 21, 2018",7409,"7,339.30","7,460.80","7,223.50",160.77K,0.95%
"Jul 20, 2018",7339,"7,477.60","7,683.60","7,292.00",258.85K,-1.85%
